datetime,symbol,name,open,high,low,close,volume
2026-09-09 09:26:00,005930,삼성전자,270000,270500,269500,269500,47227
2026-09-09 09:27:00,005930,삼성전자,269500,270000,269500,270000,26794
2026-09-09 09:28:00,005930,삼성전자,270000,270000,269500,269750,12676
2026-09-09 09:29:00,005930,삼성전자,270000,270000,269500,269500,38699
2026-09-09 09:30:00,005930,삼성전자,269750,270500,269500,270000,50872
2026-09-09 09:31:00,005930,삼성전자,270000,270250,269000,269500,114761
2026-09-09 09:32:00,005930,삼성전자,269500,270000,269000,270000,46124
2026-09-09 09:33:00,005930,삼성전자,270000,270000,269500,270000,9653
2026-09-09 09:34:00,005930,삼성전자,269500,270500,269500,270000,55182
2026-09-09 09:35:00,005930,삼성전자,269750,270000,269000,269250,36389
2026-09-09 09:36:00,005930,삼성전자,269250,269500,269000,269500,16265
2026-09-09 09:37:00,005930,삼성전자,269250,270000,269000,269500,60747
2026-09-09 09:38:00,005930,삼성전자,269500,270500,269250,270000,79324
2026-09-09 09:39:00,005930,삼성전자,269750,271000,269750,270500,37842
2026-09-09 09:40:00,005930,삼성전자,270750,271000,270000,270500,53390
2026-09-09 09:41:00,005930,삼성전자,270250,270500,269500,270250,59717
2026-09-09 09:42:00,005930,삼성전자,270500,271000,270000,270000,26394
2026-09-09 09:43:00,005930,삼성전자,270000,271000,270000,270750,20715
2026-09-09 09:44:00,005930,삼성전자,270750,271500,270500,271250,40851
2026-09-09 09:45:00,005930,삼성전자,271250,271500,271000,271250,15312
2026-09-09 09:46:00,005930,삼성전자,271250,271250,270500,271000,46518
2026-09-09 09:47:00,005930,삼성전자,271000,271500,270500,271000,26858
2026-09-09 09:48:00,005930,삼성전자,271000,271500,270000,270750,72120
2026-09-09 09:49:00,005930,삼성전자,270750,271000,270000,271000,29683
2026-09-09 09:50:00,005930,삼성전자,271000,271500,270500,271250,23794
2026-09-09 09:51:00,005930,삼성전자,271250,272000,271000,271750,75215
2026-09-09 09:52:00,005930,삼성전자,271500,273000,271500,272500,108317
2026-09-09 09:53:00,005930,삼성전자,273000,273000,272500,272750,34233
2026-09-09 09:54:00,005930,삼성전자,272500,273000,272500,273000,11885
2026-09-09 09:55:00,005930,삼성전자,272750,273000,272500,272750,16124
2026-09-09 09:56:00,005930,삼성전자,272750,273000,272500,272750,20951
2026-09-09 09:57:00,005930,삼성전자,272750,273000,272000,272500,101217
2026-09-09 09:58:00,005930,삼성전자,272500,272500,272000,272250,47057
2026-09-09 09:59:00,005930,삼성전자,272500,272500,272000,272250,28693
2026-09-09 10:00:00,005930,삼성전자,272500,273000,272000,272500,37918
2026-09-09 10:01:00,005930,삼성전자,272750,272750,271500,271750,94692
2026-09-09 10:02:00,005930,삼성전자,272000,272500,272000,272500,23106
2026-09-09 10:03:00,005930,삼성전자,272250,272500,272250,272500,9365
2026-09-09 10:04:00,005930,삼성전자,272250,272500,272000,272500,22260
2026-09-09 10:05:00,005930,삼성전자,272250,273000,272000,272000,65836
2026-09-09 10:06:00,005930,삼성전자,272500,273000,272000,272750,63418
2026-09-09 10:07:00,005930,삼성전자,272750,273000,272500,272750,32302
2026-09-09 10:08:00,005930,삼성전자,272500,273000,272500,272750,6326
2026-09-09 10:09:00,005930,삼성전자,273000,273000,272500,272750,11621
2026-09-09 10:10:00,005930,삼성전자,273000,273500,272500,272750,150000
2026-09-09 10:11:00,005930,삼성전자,272750,273000,272500,272750,13976
2026-09-09 10:12:00,005930,삼성전자,272500,273000,272000,272500,84589
2026-09-09 10:13:00,005930,삼성전자,272500,273000,272000,272750,57333
2026-09-09 10:14:00,005930,삼성전자,272750,272750,272000,272250,32203
2026-09-09 10:15:00,005930,삼성전자,272250,272500,272000,272500,10871
2026-09-09 10:16:00,005930,삼성전자,272500,272500,272000,272500,7807
2026-09-09 10:17:00,005930,삼성전자,272250,272500,272000,272500,14350
2026-09-09 10:18:00,005930,삼성전자,272500,272500,272000,272000,33944
2026-09-09 10:19:00,005930,삼성전자,272000,272500,272000,272500,3876
2026-09-09 10:20:00,005930,삼성전자,272500,273000,272000,273000,52972
2026-09-09 10:21:00,005930,삼성전자,273000,273500,272500,272750,65672
2026-09-09 10:22:00,005930,삼성전자,272750,273000,272000,272500,57769
2026-09-09 10:23:00,005930,삼성전자,272500,273000,272000,272500,41527
2026-09-09 10:24:00,005930,삼성전자,272500,273000,272500,272500,6931
2026-09-09 10:25:00,005930,삼성전자,273000,273500,272500,273250,58942
2026-09-09 10:26:00,005930,삼성전자,273000,273500,273000,273500,7673
2026-09-09 10:27:00,005930,삼성전자,273500,273500,273000,273250,17106
2026-09-09 10:28:00,005930,삼성전자,273250,273500,273000,273500,31666
